2026-03-10 18:58:36,263 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 18:58:36,263 | WARNING | FS | Thread-1 (fs_background) | fsmanager.py:560 | node not found:open_id
2026-03-10 18:58:36,266 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 18:58:36,266 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 18:58:36,266 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:275 | loop finsh
2026-03-10 18:58:36,270 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 18:58:36,270 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 18:58:36,273 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 18:58:36,273 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 18:58:36,277 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 18:58:36,277 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 18:58:45,154 | INFO | FS | Thread-73 (execute) | controller.py:90 | CLOSING..
2026-03-10 18:58:45,261 | INFO | FS | Thread-1 (fs_background) | controller.py:152 | Safely Tread Exit
2026-03-10 18:58:52,882 | INFO | FS | Thread-73 (execute) | controller.py:108 | Tag worker stopped
2026-03-10 18:58:52,882 | INFO | FS | Thread-73 (execute) | controller.py:93 | CLOSED
2026-03-10 19:41:14,097 | INFO | FS | MainThread | api.py:208 | FS starts=====>
2026-03-10 19:41:14,097 | INFO | FS | MainThread | controller.py:51 | Controller init...
2026-03-10 19:41:14,097 | INFO | FS | MainThread | fsmanager.py:41 | FSManager init...
2026-03-10 19:41:14,097 | INFO | FS | MainThread | storage.py:15 | Storage init...
2026-03-10 19:41:14,098 | INFO | FS | MainThread | vector.py:21 | MrVectorExpert init...
2026-03-10 19:41:14,099 | INFO | FS | MainThread | vector.py:28 | all_miniLM model loading
2026-03-10 19:41:20,426 | INFO | FS | MainThread | vector.py:33 | all_miniLM model loaded successfully
2026-03-10 19:41:20,426 | INFO | FS | MainThread | tree.py:59 | Loading tree from DB...
2026-03-10 19:41:20,427 | INFO | FS | MainThread | tree.py:113 | Tree loaded from DB.
2026-03-10 19:41:20,427 | INFO | FS | MainThread | logmanger.py:15 | LogManager init...
2026-03-10 19:41:20,427 | INFO | FS | MainThread | cli.py:22 | CliPerformer init...
2026-03-10 19:41:20,427 | INFO | FS | MainThread | controller.py:79 | TAG PROCESS STARTS
2026-03-10 19:41:20,434 | INFO | FS | Thread-1 (fs_background) | storage.py:15 | Storage init...
2026-03-10 19:41:20,434 | INFO | FS | MainThread | controller.py:87 | TASK PROCESS TREAD STARTS
2026-03-10 19:41:20,435 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:124 | FS start up init...
2026-03-10 19:41:20,436 | INFO | FS | Thread-1 (fs_background) | controller.py:116 | background tread starts
2026-03-10 19:41:22,171 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: show_list
2026-03-10 19:41:22,171 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:22,172 | INFO | FS | Thread-1 (fs_background) | fsmanager.py:273 | loop finsh
2026-03-10 19:41:22,192 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_quick
2026-03-10 19:41:22,193 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:22,197 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: path_breaker
2026-03-10 19:41:22,197 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:22,201 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: get_cwd
2026-03-10 19:41:22,201 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:43,925 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: find_dup
2026-03-10 19:41:43,925 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:47,389 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: find_dup
2026-03-10 19:41:47,389 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:49,156 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: find_dup
2026-03-10 19:41:49,156 | INFO | FS | Thread-1 (fs_background) | controller.py:163 | task run
2026-03-10 19:41:53,749 | INFO | FS | Thread-1 (fs_background) | controller.py:122 | task found: find_dup
